Year,GEO,product_groups,VALUE
2010,Ontario,All-items,116.5
2010,Ontario,Food,123.2
2010,Ontario,Shelter,121.3
2010,Ontario,"Recreation, education and reading",104.2
2011,Ontario,All-items,120.1
2011,Ontario,Food,128.1
2011,Ontario,Shelter,123.1
2011,Ontario,"Recreation, education and reading",105.9
2012,Ontario,All-items,121.8
2012,Ontario,Food,131
2012,Ontario,Shelter,125
2012,Ontario,"Recreation, education and reading",107.1
2013,Ontario,All-items,123
2013,Ontario,Food,132.9
2013,Ontario,Shelter,126.9
2013,Ontario,"Recreation, education and reading",107.9
2014,Ontario,All-items,125.9
2014,Ontario,Food,136.2
2014,Ontario,Shelter,131.5
2014,Ontario,"Recreation, education and reading",109.5
2015,Ontario,All-items,127.4
2015,Ontario,Food,141.2
2015,Ontario,Shelter,134.5
2015,Ontario,"Recreation, education and reading",111.7
2016,Ontario,All-items,129.7
2016,Ontario,Food,143.5
2016,Ontario,Shelter,138.1
2016,Ontario,"Recreation, education and reading",114.1
2017,Ontario,All-items,131.9
2017,Ontario,Food,143.3
2017,Ontario,Shelter,140.4
2017,Ontario,"Recreation, education and reading",117.5
2018,Ontario,All-items,135
2018,Ontario,Food,147.4
2018,Ontario,Shelter,142.7
2018,Ontario,"Recreation, education and reading",119.3
2019,Ontario,All-items,137.5
2019,Ontario,Food,152.6
2019,Ontario,Shelter,147
2019,Ontario,"Recreation, education and reading",119.9
2020,Ontario,All-items,138.4
2020,Ontario,Food,155.5
2020,Ontario,Shelter,150.1
2020,Ontario,"Recreation, education and reading",117.6
2021,Ontario,All-items,143.2
2021,Ontario,Food,159.4
2021,Ontario,Shelter,156.5
2021,Ontario,"Recreation, education and reading",118.6
