Year,GEO,Sex,income_categories,VALUE
2010,Ontario,Both sexes,All persons with income,9627930
2011,Ontario,Both sexes,All persons with income,9741870
2012,Ontario,Both sexes,All persons with income,9743420
2013,Ontario,Both sexes,All persons with income,9867280
2014,Ontario,Both sexes,All persons with income,10083520
2015,Ontario,Both sexes,All persons with income,10157280
2016,Ontario,Both sexes,All persons with income,10299220
2017,Ontario,Both sexes,All persons with income,10453060
2018,Ontario,Both sexes,All persons with income,10745630
2019,Ontario,Both sexes,All persons with income,10954030
2020,Ontario,Both sexes,All persons with income,11069300
2021,Ontario,Both sexes,All persons with income,11101670
