"REF_DATE","GEO","DGUID","Sex","Age group","Persons with income","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2001","Ontario","2016A000235","Both sexes","All age groups","All persons with income","Number","223","units","0","v20796013","16.1.1.1","8597630","","","","0"
"2002","Ontario","2016A000235","Both sexes","All age groups","All persons with income","Number","223","units","0","v20796013","16.1.1.1","8638430","","","","0"
"2003","Ontario","2016A000235","Both sexes","All age groups","All persons with income","Number","223","units","0","v20796013","16.1.1.1","8751770","","","","0"
"2004","Ontario","2016A000235","Both sexes","All age groups","All persons with income","Number","223","units","0","v20796013","16.1.1.1","8882170","","","","0"
"2005","Ontario","2016A000235","Both sexes","All age groups","All persons with income","Number","223","units","0","v20796013","16.1.1.1","9002670","","","","0"
"2006","Ontario","2016A000235","Both sexes","All age groups","All persons with income","Number","223","units","0","v20796013","16.1.1.1","9150570","","","","0"
"2007","Ontario","2016A000235","Both sexes","All age groups","All persons with income","Number","223","units","0","v20796013","16.1.1.1","9222080","","","","0"
"2008","Ontario","2016A000235","Both sexes","All age groups","All persons with income","Number","223","units","0","v20796013","16.1.1.1","9363100","","","","0"
"2009","Ontario","2016A000235","Both sexes","All age groups","All persons with income","Number","223","units","0","v20796013","16.1.1.1","9487810","","","","0"
"2010","Ontario","2016A000235","Both sexes","All age groups","All persons with income","Number","223","units","0","v20796013","16.1.1.1","9627930","","","","0"
"2011","Ontario","2016A000235","Both sexes","All age groups","All persons with income","Number","223","units","0","v20796013","16.1.1.1","9741870","","","","0"
"2012","Ontario","2016A000235","Both sexes","All age groups","All persons with income","Number","223","units","0","v20796013","16.1.1.1","9743420","","","","0"
"2013","Ontario","2016A000235","Both sexes","All age groups","All persons with income","Number","223","units","0","v20796013","16.1.1.1","9867280","","","","0"
"2014","Ontario","2016A000235","Both sexes","All age groups","All persons with income","Number","223","units","0","v20796013","16.1.1.1","10083520","","","","0"
"2015","Ontario","2016A000235","Both sexes","All age groups","All persons with income","Number","223","units","0","v20796013","16.1.1.1","10157280","","","","0"
"2016","Ontario","2016A000235","Both sexes","All age groups","All persons with income","Number","223","units","0","v20796013","16.1.1.1","10299220","","","","0"
"2017","Ontario","2016A000235","Both sexes","All age groups","All persons with income","Number","223","units","0","v20796013","16.1.1.1","10453060","","","","0"
"2018","Ontario","2016A000235","Both sexes","All age groups","All persons with income","Number","223","units","0","v20796013","16.1.1.1","10745630","","","","0"
